,Algorithm,n,time,max fs size,mean MSE,budget,r2
765,SHAP-IQ,100,1.8547923564910889,4,,847.0,0.6219498003555812
766,SHAP-IQ,100,1.8512279987335205,4,,847.0,0.6310876014134059
767,SHAP-IQ,100,1.8577392101287842,4,,847.0,0.6420488771261028
768,SHAP-IQ,100,1.852367877960205,4,,847.0,0.6236785541582759
769,SHAP-IQ,100,1.835892915725708,4,,847.0,0.6281630607373028
770,SHAP-IQ,100,1.8339858055114746,4,,847.0,0.6510569219829586
771,SHAP-IQ,100,1.8423082828521729,4,,847.0,0.6087457807651928
772,SHAP-IQ,100,1.8342163562774658,4,,847.0,0.6054689677034116
773,SHAP-IQ,100,1.8367269039154053,4,,847.0,0.5907753640862492
774,SHAP-IQ,100,1.8489229679107666,4,,847.0,0.645474185188749
775,SHAP-IQ,100,1.839930772781372,4,,847.0,0.6210043330301058
776,SHAP-IQ,100,1.8464775085449219,4,,847.0,0.614453222482966
777,SHAP-IQ,100,1.8454623222351074,4,,847.0,0.6404521985913567
778,SHAP-IQ,100,1.8456544876098633,4,,847.0,0.6098206126485095
779,SHAP-IQ,100,1.8450584411621094,4,,847.0,0.587617426174709
780,SHAP-IQ,100,1.8541460037231445,4,,847.0,0.6371241712094173
781,SHAP-IQ,100,1.8354971408843994,4,,847.0,0.6553082321939714
782,SHAP-IQ,100,1.8543565273284912,4,,847.0,0.677716972217763
783,SHAP-IQ,100,2.047154664993286,4,,952.0,0.6760744397084915
784,SHAP-IQ,100,2.048952341079712,4,,952.0,0.6815128732799189
785,SHAP-IQ,100,2.0392074584960938,4,,952.0,0.6870268829843373
786,SHAP-IQ,100,2.0405404567718506,4,,952.0,0.6868691513942036
787,SHAP-IQ,100,2.0497477054595947,4,,952.0,0.6964873062691459
788,SHAP-IQ,100,2.0442352294921875,4,,952.0,0.6847330315567447
789,SHAP-IQ,100,2.0449695587158203,4,,952.0,0.6848233670775214
790,SHAP-IQ,100,2.029210329055786,4,,952.0,0.6461156450953331
791,SHAP-IQ,100,2.0360419750213623,4,,952.0,0.6723650567250485
